platform	dbGapId
AnVIL	phs000220
AnVIL	phs000298
AnVIL	phs000424
AnVIL	phs000693
AnVIL	phs000744
AnVIL	phs000925
AnVIL	phs000971
AnVIL	phs000979
AnVIL	phs000997
AnVIL	phs001033
AnVIL	phs001211
AnVIL	phs001222
AnVIL	phs001227
AnVIL	phs001259
AnVIL	phs001272
AnVIL	phs001300
AnVIL	phs001398
AnVIL	phs001487
AnVIL	phs001489
AnVIL	phs001579
AnVIL	phs001585
AnVIL	phs001592
AnVIL	phs001642
AnVIL	phs001676
AnVIL	phs001740
AnVIL	phs001741
AnVIL	phs001746
AnVIL	phs001766
AnVIL	phs001871
AnVIL	phs001880
AnVIL	phs001894
AnVIL	phs001913
AnVIL	phs001933
AnVIL	phs001963
AnVIL	phs002004
AnVIL	phs002018
AnVIL	phs002032
AnVIL	phs002041
AnVIL	phs002042
AnVIL	phs002043
AnVIL	phs002044
AnVIL	phs002111
AnVIL	phs002205
AnVIL	phs002206
AnVIL	phs002236
AnVIL	phs002307
AnVIL	phs002324
AnVIL	phs002337
AnVIL	phs002378
AnVIL	phs002502
AnVIL	phs002726
AnVIL	phs003018
AnVIL	phs003047
AnVIL	phs003181
AnVIL	phs003184
AnVIL	phs003193
AnVIL	phs003200
AnVIL	phs003224
AnVIL	phs003444
AnVIL	phs003472
AnVIL	phs003537
AnVIL	phs003821
AnVIL	phs004000
BDC	phs000007
BDC	phs000166
BDC	phs000179
BDC	phs000200
BDC	phs000204
BDC	phs000209
BDC	phs000221
BDC	phs000223
BDC	phs000244
BDC	phs000253
BDC	phs000279
BDC	phs000280
BDC	phs000284
BDC	phs000285
BDC	phs000286
BDC	phs000287
BDC	phs000289
BDC	phs000290
BDC	phs000291
BDC	phs000294
BDC	phs000296
BDC	phs000307
BDC	phs000349
BDC	phs000354
BDC	phs000362
BDC	phs000363
BDC	phs000366
BDC	phs000379
BDC	phs000398
BDC	phs000401
BDC	phs000402
BDC	phs000422
BDC	phs000438
BDC	phs000439
BDC	phs000442
BDC	phs000479
BDC	phs000481
BDC	phs000498
BDC	phs000499
BDC	phs000507
BDC	phs000518
BDC	phs000553
BDC	phs000555
BDC	phs000557
BDC	phs000571
BDC	phs000581
BDC	phs000587
BDC	phs000617
BDC	phs000631
BDC	phs000647
BDC	phs000651
BDC	phs000668
BDC	phs000703
BDC	phs000724
BDC	phs000758
BDC	phs000784
BDC	phs000806
BDC	phs000808
BDC	phs000810
BDC	phs000814
BDC	phs000820
BDC	phs000860
BDC	phs000873
BDC	phs000886
BDC	phs000902
BDC	phs000914
BDC	phs000917
BDC	phs000920
BDC	phs000921
BDC	phs000930
BDC	phs000936
BDC	phs000946
BDC	phs000951
BDC	phs000954
BDC	phs000956
BDC	phs000963
BDC	phs000964
BDC	phs000972
BDC	phs000974
BDC	phs000988
BDC	phs000990
BDC	phs000993
BDC	phs000997
BDC	phs000998
BDC	phs001001
BDC	phs001012
BDC	phs001013
BDC	phs001024
BDC	phs001032
BDC	phs001040
BDC	phs001058
BDC	phs001062
BDC	phs001069
BDC	phs001074
BDC	phs001098
BDC	phs001101
BDC	phs001143
BDC	phs001180
BDC	phs001189
BDC	phs001194
BDC	phs001207
BDC	phs001211
BDC	phs001212
BDC	phs001215
BDC	phs001217
BDC	phs001218
BDC	phs001237
BDC	phs001238
BDC	phs001252
BDC	phs001258
BDC	phs001293
BDC	phs001341
BDC	phs001345
BDC	phs001356
BDC	phs001359
BDC	phs001368
BDC	phs001387
BDC	phs001395
BDC	phs001402
BDC	phs001412
BDC	phs001416
BDC	phs001434
BDC	phs001435
BDC	phs001446
BDC	phs001466
BDC	phs001467
BDC	phs001468
BDC	phs001472
BDC	phs001514
BDC	phs001515
BDC	phs001536
BDC	phs001539
BDC	phs001542
BDC	phs001543
BDC	phs001544
BDC	phs001545
BDC	phs001546
BDC	phs001547
BDC	phs001569
BDC	phs001592
BDC	phs001598
BDC	phs001599
BDC	phs001600
BDC	phs001601
BDC	phs001602
BDC	phs001603
BDC	phs001604
BDC	phs001605
BDC	phs001606
BDC	phs001607
BDC	phs001608
BDC	phs001610
BDC	phs001612
BDC	phs001624
BDC	phs001644
BDC	phs001661
BDC	phs001662
BDC	phs001672
BDC	phs001679
BDC	phs001682
BDC	phs001725
BDC	phs001726
BDC	phs001727
BDC	phs001728
BDC	phs001729
BDC	phs001730
BDC	phs001732
BDC	phs001735
BDC	phs001759
BDC	phs001814
BDC	phs001843
BDC	phs001892
BDC	phs001927
BDC	phs001933
BDC	phs001961
BDC	phs001974
BDC	phs002256
BDC	phs002299
BDC	phs002348
BDC	phs002362
BDC	phs002363
BDC	phs002369
BDC	phs002383
BDC	phs002385
BDC	phs002386
BDC	phs002415
BDC	phs002558
BDC	phs002559
BDC	phs002560
BDC	phs002611
BDC	phs002694
BDC	phs002710
BDC	phs002715
BDC	phs002719
BDC	phs002752
BDC	phs002770
BDC	phs002808
BDC	phs002907
BDC	phs002908
BDC	phs002909
BDC	phs002910
BDC	phs002911
BDC	phs002913
BDC	phs002919
BDC	phs002975
BDC	phs002980
BDC	phs002988
BDC	phs003017
BDC	phs003028
BDC	phs003045
BDC	phs003063
BDC	phs003212
BDC	phs003231
BDC	phs003288
BDC	phs003419
BDC	phs003461
BDC	phs003463
BDC	phs003470
BDC	phs003483
BDC	phs003493
BDC	phs003506
BDC	phs003510
BDC	phs003524
BDC	phs003529
BDC	phs003533
BDC	phs003542
BDC	phs003543
BDC	phs003548
BDC	phs003551
BDC	phs003557
BDC	phs003562
BDC	phs003565
BDC	phs003566
BDC	phs003578
BDC	phs003589
BDC	phs003593
BDC	phs003594
BDC	phs003599
BDC	phs003621
BDC	phs003637
BDC	phs003639
BDC	phs003654
BDC	phs003665
BDC	phs003667
BDC	phs003668
BDC	phs003702
BDC	phs003703
BDC	phs003708
BDC	phs003714
BDC	phs003726
BDC	phs003730
BDC	phs003734
BDC	phs003736
BDC	phs003737
BDC	phs003738
BDC	phs003739
BDC	phs003740
BDC	phs003743
BDC	phs003744
BDC	phs003747
BDC	phs003768
BDC	phs003769
BDC	phs003777
BDC	phs003782
BDC	phs003783
BDC	phs003784
BDC	phs003791
CRDC	phs000463
CRDC	phs000464
CRDC	phs000465
CRDC	phs000466
CRDC	phs000467
CRDC	phs000468
CRDC	phs000470
CRDC	phs000471
CRDC	phs000527
CRDC	phs000528
CRDC	phs000529
CRDC	phs000530
CRDC	phs000748
CRDC	phs000892
CRDC	phs001179
CRDC	phs001184
CRDC	phs001239
CRDC	phs001287
CRDC	phs001374
CRDC	phs001611
CRDC	phs001628
CRDC	phs001648
CRDC	phs001657
CRDC	phs001709
CRDC	phs001799
CRDC	phs001801
CRDC	phs001859
CRDC	phs001888
CRDC	phs001904
CRDC	phs001926
CRDC	phs001931
CRDC	phs001939
CRDC	phs001948
CRDC	phs001965
CRDC	phs001973
CRDC	phs002005
CRDC	phs002028
CRDC	phs002029
CRDC	phs002058
CRDC	phs002151
CRDC	phs002152
CRDC	phs002153
CRDC	phs002177
CRDC	phs002178
CRDC	phs002179
CRDC	phs002180
CRDC	phs002181
CRDC	phs002247
CRDC	phs002790
CRDC	phs003011
CRDC	phs003488
dbGaP	phs000001
dbGaP	phs000006
dbGaP	phs000016
dbGaP	phs000017
dbGaP	phs000018
dbGaP	phs000019
dbGaP	phs000020
dbGaP	phs000021
dbGaP	phs000048
dbGaP	phs000049
dbGaP	phs000050
dbGaP	phs000086
dbGaP	phs000088
dbGaP	phs000089
dbGaP	phs000090
dbGaP	phs000091
dbGaP	phs000092
dbGaP	phs000093
dbGaP	phs000094
dbGaP	phs000095
dbGaP	phs000096
dbGaP	phs000100
dbGaP	phs000101
dbGaP	phs000102
dbGaP	phs000103
dbGaP	phs000122
dbGaP	phs000124
dbGaP	phs000125
dbGaP	phs000126
dbGaP	phs000127
dbGaP	phs000128
dbGaP	phs000130
dbGaP	phs000138
dbGaP	phs000139
dbGaP	phs000140
dbGaP	phs000142
dbGaP	phs000143
dbGaP	phs000144
dbGaP	phs000145
dbGaP	phs000147
dbGaP	phs000153
dbGaP	phs000159
dbGaP	phs000160
dbGaP	phs000167
dbGaP	phs000168
dbGaP	phs000169
dbGaP	phs000170
dbGaP	phs000171
dbGaP	phs000178
dbGaP	phs000180
dbGaP	phs000181
dbGaP	phs000182
dbGaP	phs000185
dbGaP	phs000187
dbGaP	phs000188
dbGaP	phs000196
dbGaP	phs000198
dbGaP	phs000199
dbGaP	phs000201
dbGaP	phs000202
dbGaP	phs000203
dbGaP	phs000205
dbGaP	phs000206
dbGaP	phs000207
dbGaP	phs000210
dbGaP	phs000211
dbGaP	phs000215
dbGaP	phs000216
dbGaP	phs000217
dbGaP	phs000218
dbGaP	phs000219
dbGaP	phs000222
dbGaP	phs000224
dbGaP	phs000225
dbGaP	phs000226
dbGaP	phs000227
dbGaP	phs000228
dbGaP	phs000233
dbGaP	phs000234
dbGaP	phs000235
dbGaP	phs000236
dbGaP	phs000237
dbGaP	phs000238
dbGaP	phs000239
dbGaP	phs000240
dbGaP	phs000245
dbGaP	phs000246
dbGaP	phs000247
dbGaP	phs000248
dbGaP	phs000249
dbGaP	phs000250
dbGaP	phs000251
dbGaP	phs000252
dbGaP	phs000254
dbGaP	phs000255
dbGaP	phs000256
dbGaP	phs000257
dbGaP	phs000258
dbGaP	phs000259
dbGaP	phs000260
dbGaP	phs000261
dbGaP	phs000262
dbGaP	phs000263
dbGaP	phs000264
dbGaP	phs000265
dbGaP	phs000266
dbGaP	phs000267
dbGaP	phs000268
dbGaP	phs000269
dbGaP	phs000272
dbGaP	phs000273
dbGaP	phs000274
dbGaP	phs000275
dbGaP	phs000276
dbGaP	phs000277
dbGaP	phs000281
dbGaP	phs000282
dbGaP	phs000283
dbGaP	phs000288
dbGaP	phs000292
dbGaP	phs000293
dbGaP	phs000295
dbGaP	phs000297
dbGaP	phs000299
dbGaP	phs000301
dbGaP	phs000302
dbGaP	phs000303
dbGaP	phs000304
dbGaP	phs000305
